# Time-averaged data for fix rdfid
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
2000 50
1 1.43971e-07 0
2 4.31912e-07 0
3 7.19853e-07 0
4 1.00779e-06 0
5 1.29574e-06 0
6 1.58368e-06 0
7 1.87162e-06 0
8 2.15956e-06 0
9 2.4475e-06 0.0106311
10 2.73544e-06 0.0271973
11 3.02338e-06 0.0769315
12 3.31132e-06 0.294289
13 3.59927e-06 0.41879
14 3.88721e-06 0.827852
15 4.17515e-06 1.13782
16 4.46309e-06 1.3163
17 4.75103e-06 1.39562
18 5.03897e-06 1.41126
19 5.32691e-06 1.35979
20 5.61485e-06 1.21072
21 5.90279e-06 1.07498
22 6.19074e-06 0.977785
23 6.47868e-06 0.903248
24 6.76662e-06 0.88816
25 7.05456e-06 0.8948
26 7.3425e-06 0.856568
27 7.63044e-06 0.93985
28 7.91838e-06 0.928917
29 8.20632e-06 1.04243
30 8.49427e-06 1.01464
31 8.78221e-06 1.00828
32 9.07015e-06 1.05522
33 9.35809e-06 1.0377
34 9.64603e-06 1.0041
35 9.93397e-06 1.03331
36 1.02219e-05 1.03183
37 1.05099e-05 0.964184
38 1.07978e-05 0.972332
39 1.10857e-05 1.00837
40 1.13737e-05 0.98742
41 1.16616e-05 0.988135
42 1.19496e-05 0.994332
43 1.22375e-05 1.00195
44 1.25254e-05 1.02085
45 1.28134e-05 1.00654
46 1.31013e-05 0.989883
47 1.33893e-05 0.991635
48 1.36772e-05 0.985087
49 1.39651e-05 1.00082
50 1.42531e-05 1.01996
